7zip	25.01+dfsg-1~deb13u1
libaom3:amd64	3.12.1-1
libapache2-mod-php	2:8.4+96
libapache2-mod-php8.2	8.2.29-1~deb12u1
libapache2-mod-php8.4	8.4.11-1
libapparmor1:amd64	4.1.0-1
libappstream5:amd64	1.0.5-1
libapr1t64:amd64	1.7.5-1
libaprutil1-dbd-sqlite3:amd64	1.6.3-3+b1
libaprutil1-ldap:amd64	1.6.3-3+b1
libaprutil1t64:amd64	1.6.3-3+b1
libapt-pkg6.0:amd64	2.6.1
libapt-pkg7.0:amd64	3.0.3
libarchive13t64:amd64	3.7.4-4
libargon2-1:amd64	0~20190702+dfsg-4+b2
libasan8:amd64	14.2.0-19
libasound2-data	1.2.14-1
libasound2t64:amd64	1.2.14-1
libasound2t64:i386	1.2.14-1
libass9:amd64	1:0.17.3-1+b1
libassuan9:amd64	3.0.2-2
libasyncns0:amd64	0.8-6+b5
libasyncns0:i386	0.8-6+b5
libatomic1:amd64	14.2.0-19
libatomic1:i386	14.2.0-19
libattr1:amd64	1:2.5.2-3
libaudit-common	1:4.0.2-2
libaudit1:amd64	1:4.0.2-2+b2
libaugeas0:amd64	1.14.1-1+b3
libavahi-client3:amd64	0.8-16
libavahi-common-data:amd64	0.8-16
libavahi-common3:amd64	0.8-16
libavc1394-0:amd64	0.5.4-5+b2
libavcodec61:amd64	7:7.1.2-0+deb13u1
libavdevice61:amd64	7:7.1.2-0+deb13u1
libavfilter10:amd64	7:7.1.2-0+deb13u1
libavformat61:amd64	7:7.1.2-0+deb13u1
libavif-dev:amd64	1.2.1-1.2
libavif16:amd64	1.2.1-1.2
libavutil59:amd64	7:7.1.2-0+deb13u1
libbdplus0:amd64	0.2.0-4+b1
libbinutils:amd64	2.44-3
libblas3:amd64	3.12.1-6
libblkid1:amd64	2.41-5
libblkid1:i386	2.41-5
libbluray2:amd64	1:1.3.4-1+b2
libbpf-dev:amd64	1:1.5.0-3
libbpf1:amd64	1:1.5.0-3
libbpfcc-dev:amd64	0.31.0+ds-7
libbpfcc:amd64	0.31.0+ds-7
libbrotli-dev:amd64	1.1.0-2+b7
libbrotli1:amd64	1.1.0-2+b7
libbrotli1:i386	1.1.0-2+b7
libbs2b0:amd64	3.1.0+dfsg-8+b1
libbsd0:amd64	0.12.2-2
libbsd0:i386	0.12.2-2
libbz2-1.0:amd64	1.0.8-6
libbz2-1.0:i386	1.0.8-6
libbz2-dev:amd64	1.0.8-6
libc-bin	2.41-12+deb13u1
libc-dev-bin	2.41-12+deb13u1
libc-devtools	2.41-12+deb13u1
libc-l10n	2.41-12+deb13u1
libc6-dev-i386	2.41-12+deb13u1
libc6-dev-x32	2.41-12+deb13u1
libc6-dev:amd64	2.41-12+deb13u1
libc6-i386	2.41-12+deb13u1
libc6-x32	2.41-12+deb13u1
libc6:amd64	2.41-12+deb13u1
libc6:i386	2.41-12+deb13u1
libcaca0:amd64	0.99.beta20-5
libcairo-gobject2:amd64	1.18.4-1+b1
libcairo2:amd64	1.18.4-1+b1
libcairo2:i386	1.18.4-1+b1
libcap-ng0:amd64	0.8.5-4+b1
libcap2-bin	1:2.75-10+b1
libcap2:amd64	1:2.75-10+b1
libcap2:i386	1:2.75-10+b1
libcbor0.10:amd64	0.10.2-2
libcc1-0:amd64	14.2.0-19
libcdio-cdda2t64:amd64	10.2+2.0.2-1+b1
libcdio-paranoia2t64:amd64	10.2+2.0.2-1+b1
libcdio19t64:amd64	2.2.0-4
libcdt5:amd64	2.42.4-3
libcgi-fast-perl	1:2.17-1
libcgi-pm-perl	4.68-1
libcgraph6:amd64	2.42.4-3
libchromaprint1:amd64	1.5.1-7
libcivetweb1:amd64	1.16+dfsg-2+b2
libcjson1:amd64	1.7.18-3.1+deb13u1
libclang-common-14-dev	1:14.0.6-12
libclang-common-19-dev:amd64	1:19.1.7-3+b1
libclang-cpp14	1:14.0.6-12
libclang-cpp19	1:19.1.7-3+b1
libclang-rt-14-dev:amd64	1:14.0.6-12
libclang-rt-19-dev:amd64	1:19.1.7-3+b1
libclang1-14	1:14.0.6-12
libclang1-19	1:19.1.7-3+b1
libclone-perl:amd64	0.47-1+b1
libcodec2-1.2:amd64	1.2.0-3
libcom-err2:amd64	1.47.2-3+b3
libcom-err2:i386	1.47.2-3+b3
libconfig-inifiles-perl	3.000003-3
libcrypt-dev:amd64	1:4.4.38-1
libcrypt1:amd64	1:4.4.38-1
libcryptsetup12:amd64	2:2.7.5-2
libctf-nobfd0:amd64	2.44-3
libctf0:amd64	2.44-3
libcups2t64:amd64	2.4.10-3+deb13u2
libcurl3-nss:amd64	7.88.1-10+deb12u14
libcurl3t64-gnutls:amd64	8.14.1-2+deb13u2
libcurl3t64-gnutls:i386	8.14.1-2+deb13u2
libcurl4t64:amd64	8.14.1-2+deb13u2
libdatrie1:amd64	0.2.13-3+b1
libdatrie1:i386	0.2.13-3+b1
libdav1d-dev:amd64	1.5.1-1
libdav1d7:amd64	1.5.1-1
libdb5.3t64:amd64	5.3.28+dfsg2-9
libdb5.3t64:i386	5.3.28+dfsg2-9
libdbd-mariadb-perl	1.22-1+b4
libdbi-perl:amd64	1.647-1
libdbus-1-3:amd64	1.16.2-2
libdbus-1-3:i386	1.16.2-2
libdc1394-25:amd64	2.2.6-5
libde265-0:amd64	1.0.15-1+b3
libdebconfclient0:amd64	0.280
libdecor-0-0:amd64	0.2.2-2
libdecor-0-0:i386	0.2.2-2
libdecor-0-plugin-1-cairo:amd64	0.2.2-2
libdecor-0-plugin-1-cairo:i386	0.2.2-2
libdeflate-dev:amd64	1.23-2
libdeflate0:amd64	1.23-2
libdevmapper1.02.1:amd64	2:1.02.205-2
libdialog15:amd64	1.3-20250116-1
libdjvulibre-text	3.5.28-2.2
libdjvulibre21:amd64	3.5.28-2.2
libdpkg-perl	1.22.21
libdrm-amdgpu1:amd64	2.4.124-2
libdrm-amdgpu1:i386	2.4.124-2
libdrm-common	2.4.124-2
libdrm-intel1:amd64	2.4.124-2
libdrm-intel1:i386	2.4.124-2
libdrm2:amd64	2.4.124-2
libdrm2:i386	2.4.124-2
libduktape207:amd64	2.7.0-2+b2
libdvdnav4:amd64	6.1.1-3+b1
libdvdread8t64:amd64	6.1.3-2
libeatmydata1:amd64	131-2+b1
libecap3:amd64	1.0.1-4
libedit2:amd64	3.1-20250104-1
libedit2:i386	3.1-20250104-1
libefiboot1t64:amd64	38-3.1+b1
libefivar1t64:amd64	38-3.1+b1
libelf-dev:amd64	0.192-4
libelf1t64:amd64	0.192-4
libelf1t64:i386	0.192-4
libencode-locale-perl	1.05-3
liberror-perl	0.17030-1
libevent-2.1-7t64:amd64	2.1.12-stable-10+b1
libexpat1-dev:amd64	2.7.1-2
libexpat1:amd64	2.7.1-2
libexpat1:i386	2.7.1-2
libext2fs2t64:amd64	1.47.2-3+b3
libfakeroot:amd64	1.37.1.1-1
libfcgi-bin	2.4.5-0.1
libfcgi-perl	0.82+ds-3+b2
libfcgi0t64:amd64	2.4.5-0.1
libfdisk1:amd64	2.41-5
libffi-dev:amd64	3.4.8-2
libffi8:amd64	3.4.8-2
libffi8:i386	3.4.8-2
libfftw3-double3:amd64	3.3.10-2+b1
libfido2-1:amd64	1.15.0-1+b1
libfile-fcntllock-perl	0.22-4+b4
libflac14:amd64	1.5.0+ds-2
libflac14:i386	1.5.0+ds-2
libflite1:amd64	2.2-7
libfontconfig-dev:amd64	2.15.0-2.3
libfontconfig1:amd64	2.15.0-2.3
libfontconfig1:i386	2.15.0-2.3
libfontenc1:amd64	1:1.1.8-1+b2
libfreetype-dev:amd64	2.13.3+dfsg-1
libfreetype6:amd64	2.13.3+dfsg-1
libfreetype6:i386	2.13.3+dfsg-1
libfribidi0:amd64	1.0.16-1
libfribidi0:i386	1.0.16-1
libfstrm0:amd64	0.6.1-1+b3
libfuse3-4:amd64	3.17.2-3
libgav1-1:amd64	0.19.0-3+b1
libgbm1:amd64	25.0.7-2
libgbm1:i386	25.0.7-2
libgc1:amd64	1:8.2.8-1
libgcc-12-dev:amd64	12.4.0-5
libgcc-14-dev:amd64	14.2.0-19
libgcc-s1:amd64	14.2.0-19
libgcc-s1:i386	14.2.0-19
libgcrypt20:amd64	1.11.0-7
libgcrypt20:i386	1.11.0-7
libgd-dev:amd64	2.3.3-13
libgd3:amd64	2.3.3-13
libgdbm-compat4t64:amd64	1.24-2
libgdbm6t64:amd64	1.24-2
libgdk-pixbuf-2.0-0:amd64	2.42.12+dfsg-4
libgdk-pixbuf2.0-bin	2.42.12+dfsg-4
libgdk-pixbuf2.0-common	2.42.12+dfsg-4
libgfortran5:amd64	14.2.0-19
libgif7:amd64	5.2.2-1+b1
libgirepository-1.0-1:amd64	1.84.0-1
libgit2-1.9:amd64	1.9.0+ds-2
libgl1-mesa-dri:amd64	25.0.7-2
libgl1:amd64	1.7.0-1+b2
libglib2.0-0:amd64	2.74.6-2+deb12u7
libglib2.0-0:i386	2.74.6-2+deb12u7
libglib2.0-0t64:amd64	2.84.4-3~deb13u1
libglib2.0-0t64:i386	2.84.4-3~deb13u1
libglib2.0-bin	2.84.4-3~deb13u1
libglib2.0-data	2.84.4-3~deb13u1
libglvnd0:amd64	1.7.0-1+b2
libglx-mesa0:amd64	25.0.7-2
libglx0:amd64	1.7.0-1+b2
libgme0:amd64	0.6.3-7+b2
libgmp10:amd64	2:6.3.0+dfsg-3
libgmp10:i386	2:6.3.0+dfsg-3
libgnustep-base1.31:amd64	1.31.1-3
libgnutls-dane0t64:amd64	3.8.9-3
libgnutls30t64:amd64	3.8.9-3
libgnutls30t64:i386	3.8.9-3
libgomp1:amd64	14.2.0-19
libgpg-error-l10n	1.51-4
libgpg-error0:amd64	1.51-4
libgpg-error0:i386	1.51-4
libgpm2:amd64	1.20.7-11+b2
libgpm2:i386	1.20.7-11+b2
libgprofng0:amd64	2.44-3
libgraphite2-3:amd64	1.3.14-2+b1
libgraphite2-3:i386	1.3.14-2+b1
libgs-common	10.05.1~dfsg-1+deb13u1
libgs10-common	10.05.1~dfsg-1+deb13u1
libgs10:amd64	10.05.1~dfsg-1+deb13u1
libgsm1:amd64	1.0.22-1+b2
libgssapi-krb5-2:amd64	1.21.3-5
libgssapi-krb5-2:i386	1.21.3-5
libgstreamer1.0-0:amd64	1.26.2-2
libgts-0.7-5t64:amd64	0.7.6+darcs121130-5.2+b1
libgts-bin	0.7.6+darcs121130-5.2+b1
libgvc6	2.42.4-3
libgvpr2:amd64	2.42.4-3
libharfbuzz0b:amd64	10.2.0-1+b1
libharfbuzz0b:i386	10.2.0-1+b1
libhavege2:amd64	1.9.19-12
libheif-dev:amd64	1.19.8-1
libheif-plugin-aomenc:amd64	1.19.8-1
libheif-plugin-dav1d:amd64	1.19.8-1
libheif-plugin-libde265:amd64	1.19.8-1
libheif-plugin-x265:amd64	1.19.8-1
libheif1:amd64	1.19.8-1
libhiredis-dev:amd64	1.2.0-6+b3
libhiredis1.1.0:amd64	1.2.0-6+b3
libhogweed6t64:amd64	3.10.1-1
libhogweed6t64:i386	3.10.1-1
libhtml-parser-perl:amd64	3.83-1+b2
libhtml-tagset-perl	3.24-1
libhtml-template-perl	2.97-2
libhttp-date-perl	6.06-1
libhttp-message-perl	7.00-2
libhttp-parser2.9:amd64	2.9.4-6+b2
libhwasan0:amd64	14.2.0-19
libhwy1t64:amd64	1.2.0-2+b2
libice6:amd64	2:1.1.1-1
libicu76:amd64	76.1-4
libid3tag0:amd64	0.16.3-1
libidn12:amd64	1.43-1
libidn2-0:amd64	2.3.8-2
libidn2-0:i386	2.3.8-2
libiec61883-0:amd64	1.2.0-7
libigdgmm12:amd64	22.7.2+ds1-1
libijs-0.35:amd64	0.35-15.2
libimagequant-dev:amd64	2.18.0-1+b2
libimagequant0:amd64	2.18.0-1+b2
libimath-3-1-29t64:amd64	3.1.12-1+b3
libimlib2t64:amd64	1.12.4-2
libio-compress-brotli-perl	0.004001-2+b3
libio-html-perl	1.004-3
